Period,Region,State,Year,Added & Replaced,Colony Loss,Colony loss %,Disease_unformated,Diseases %,Inventory,"Loss, Colony Collapse Disorder",Other causes %,Other Causes_unformatted,Other Pests %,Other pests_unformatted,Percent Colony Loss,Pesticides %,pesticides_unformatted,Renovated - Inventory,Renovated - Inventory Measured In Pct Of Colonies,Renovated - Inventory Pct,Unknown Causes %,Unknown_unformatted,Varroa Mites %,Varroa Mites_unformatted
APR THRU JUN,Midwest,MICHIGAN,2018,23000,7500,0.11,10.8,0.108,37000,,0.127,12.7,0.186,18.6,11,0.117,11.7,8500,,12,0.098,9.8,75.40%,75.4
JUL THRU SEP,West,WASHINGTON,2019,12000,21000,0.22,2.5,0.025,85000,4500,0.094,9.4,0.009,0.9,22,0.046,4.6,10000,,10,0.003,0.3,47.30%,47.3
JUL THRU SEP,Midwest,MICHIGAN,2016,11000,15000,0.14,0.3,0.003,108000,,0.065,6.5,0.251,25.1,14,0.091,9.1,9500,,9,0.027,2.7,64.10%,64.1
JUL THRU SEP,West,UTAH,2015,1400,8000,0.22,41.6,0.416,31000,,0.036,3.6,0.25,25,22,0.336,33.6,2200,,6,0.001,0.1,40.10%,40.1
JUL THRU SEP,South,GEORGIA,2015,19500,13000,0.12,3.6,0.036,108000,,0.089,8.9,0.162,16.2,12,0.212,21.2,15500,,14,0.036,3.6,47.60%,47.6
APR THRU JUN,Northeast,MASSACHUSETTS,2015,940,320,0.02,0.2,0.002,4100,,0.044,4.4,0.617,61.7,2,0.618,61.8,510,,4,0.031,3.1,66.80%,66.8
OCT THRU DEC,Midwest,INDIANA,2015,140,1100,0.1,6.3,0.063,11500,,0.006,0.6,0.005,0.5,10,0.001,0.1,0,,0,0.037,3.7,15.10%,15.1
JUL THRU SEP,West,COLORADO,2020,3800,7000,0.24,,,29000,70,0.063,6.3,0.011,1.1,24,0,0,5500,,19,0.198,19.8,23.10%,23.1
APR THRU JUN,Midwest,WISCONSIN,2020,14000,1700,0.03,25,0.25,27000,90,0.258,25.8,0.273,27.3,3,0.251,25.1,4600,,8,0.261,26.1,46.10%,46.1
JAN THRU MAR,West,CALIFORNIA,2018,205000,215000,0.14,4.8,0.048,1150000,,0.08,8,0.113,11.3,14,0.115,11.5,133000,,9,0.049,4.9,41.30%,41.3
OCT THRU DEC,South,LOUISIANA,2017,390,2700,0.05,0.3,0.003,58000,,0.021,2.1,0.266,26.6,5,0.006,0.6,1900,,3,0.104,10.4,31.50%,31.5
JAN THRU MAR,Northeast,NEW YORK,2019,110,3400,0.14,1.7,0.017,24000,750,0.077,7.7,0.025,2.5,14,0.017,1.7,80,,,0.09,9,10.60%,10.6
JAN THRU MAR,West,UTAH,2018,490,620,0.04,0.1,0.001,7500,,0.001,0.1,0,0,4,0,0,50,,,0.005,0.5,18.70%,18.7
APR THRU JUN,Midwest,NEBRASKA,2021,9000,1800,0.05,,,18500,1200,0.032,3.2,,,5,0.074,7.4,810,,2,0.013,1.3,17.30%,17.3
JAN THRU MAR,Northeast,CONNECTICUT,2017,100,380,0.12,0,0,3100,,0.061,6.1,0.015,1.5,12,0,0,110,,4,0.056,5.6,51.50%,51.5
JAN THRU MAR,Midwest,WISCONSIN,2018,2800,4600,0.16,1.2,0.012,21000,,0.036,3.6,0.037,3.7,16,0.015,1.5,1600,,6,0.037,3.7,14.10%,14.1
JAN THRU MAR,South,MISSISSIPPI,2019,3800,2400,0.08,64.8,0.648,26000,160,0.019,1.9,0.71,71,8,0.484,48.4,1700,,6,0.055,5.5,14.60%,14.6
OCT THRU DEC,South,TEXAS,2018,11000,17000,0.07,5.5,0.055,116000,,0.062,6.2,0.185,18.5,7,0.03,3,70,,,0.037,3.7,18.60%,18.6
OCT THRU DEC,Northeast,CONNECTICUT,2015,40,210,0.07,0.5,0.005,3200,,0.034,3.4,0.017,1.7,7,0.011,1.1,70,,2,0.02,2,10.50%,10.5
OCT THRU DEC,Midwest,MINNESOTA,2020,1200,9500,0.09,1,0.01,99000,5000,0.018,1.8,0.016,1.6,9,0.192,19.2,340,,,0.026,2.6,17.20%,17.2
OCT THRU DEC,South,KENTUCKY,2021,120,880,0.08,2.3,0.023,10500,160,0.132,13.2,0.39,39,8,,,460,,4,0.12,12,54.10%,54.1
JUL THRU SEP,South,ARKANSAS,2015,500,9000,0.3,0.9,0.009,23000,,0.018,1.8,0.324,32.4,30,0.05,5,210,,1,0.014,1.4,69.20%,69.2
OCT THRU DEC,South,MARYLAND,2020,60,980,0.12,1.5,0.015,6000,100,0.062,6.2,0.018,1.8,12,0.007,0.7,460,,6,0.021,2.1,27.50%,27.5
APR THRU JUN,West,MONTANA,2017,18000,3700,0.03,4.2,0.042,47000,,0.044,4.4,0.04,4,3,0.035,3.5,18000,,13,0.006,0.6,20.00%,20
JAN THRU MAR,South,GEORGIA,2015,47000,14500,0.14,3.3,0.033,104000,,0.048,4.8,0.049,4.9,14,0.026,2.6,9500,,9,0.105,10.5,6.20%,6.2
APR THRU JUN,Midwest,SOUTH DAKOTA,2017,10000,13000,0.08,1,0.01,30000,,0.05,5,0.014,1.4,8,0.064,6.4,23000,,14,0.036,3.6,8.70%,8.7
APR THRU JUN,South,SOUTH CAROLINA,2015,1100,950,0.05,0.5,0.005,17500,,0.037,3.7,0.054,5.4,5,0.014,1.4,2000,,11,0.007,0.7,29.90%,29.9
JAN THRU MAR,Midwest,INDIANA,2021,2400,2600,0.24,0,0,10000,450,0.048,4.8,0.054,5.4,24,0.007,0.7,20,,,0.044,4.4,34.10%,34.1
JAN THRU MAR,Midwest,NEBRASKA,2016,510,720,0.04,0.1,0.001,11000,,0.008,0.8,0.004,0.4,4,0.002,0.2,0,,0,0.006,0.6,1.80%,1.8
JAN THRU MAR,South,MISSISSIPPI,2015,22000,8500,0.11,0.1,0.001,34000,,0.012,1.2,0.082,8.2,11,0.021,2.1,7500,,10,0.011,1.1,9.40%,9.4
JAN THRU MAR,Midwest,NORTH DAKOTA,2020,0,7500,0.09,0,0,53000,11500,0.031,3.1,0,0,9,0,0,,,0,0,0,0.60%,0.6
JUL THRU SEP,West,HAWAII,2015,1200,2700,0.19,0.1,0.001,14500,,0.025,2.5,0.805,80.5,19,0.001,0.1,5500,,38,0,0,78.10%,78.1
OCT THRU DEC,Midwest,MISSOURI,2019,260,1500,0.15,0.2,0.002,9000,170,0.015,1.5,0.059,5.9,15,0.001,0.1,10,,,0.004,0.4,19.20%,19.2
APR THRU JUN,South,OKLAHOMA,2015,5500,2200,0.08,0,0,25000,,0.07,7,0.063,6.3,8,0.001,0.1,2200,,8,0.019,1.9,66.10%,66.1
JAN THRU MAR,South,WEST VIRGINIA,2022,420,1000,0.18,1.7,0.017,5500,370,0.06,6,0.074,7.4,18,0.012,1.2,200,,4,0.009,0.9,15.80%,15.8
OCT THRU DEC,West,WASHINGTON,2016,3100,9000,0.09,3.7,0.037,65000,,0.045,4.5,0.046,4.6,9,0.091,9.1,130,,0,0.003,0.3,21.40%,21.4
JAN THRU MAR,South,VIRGINIA,2015,800,2500,0.28,2.3,0.023,8000,,0.098,9.8,0.094,9.4,28,0,0,460,,5,0.119,11.9,19.00%,19
APR THRU JUN,West,CALIFORNIA,2021,165000,114000,0.11,7.7,0.077,1090000,10000,0.116,11.6,0.115,11.5,11,0.161,16.1,180000,,17,0.038,3.8,42.40%,42.4
APR THRU JUN,West,IDAHO,2017,22000,10500,0.13,4,0.04,61000,,0.078,7.8,0.064,6.4,13,0.083,8.3,31000,,40,0.048,4.8,30.50%,30.5
OCT THRU DEC,Midwest,KANSAS,2020,460,2400,0.34,1.2,0.012,6000,620,0.264,26.4,0.303,30.3,34,0.333,33.3,170,,2,0.259,25.9,37.70%,37.7
JAN THRU MAR,Northeast,PENNSYLVANIA,2015,360,6500,0.31,1.9,0.019,14000,,0.178,17.8,0.063,6.3,31,0.019,1.9,0,,0,0.063,6.3,28.10%,28.1
OCT THRU DEC,West,WYOMING,2015,30,1300,0.05,6.6,0.066,24000,,0.113,11.3,0.033,3.3,5,0.105,10.5,0,,0,0.039,3.9,45.00%,45
OCT THRU DEC,Midwest,NORTH DAKOTA,2021,11000,27000,0.06,2.8,0.028,485000,8500,0.078,7.8,0.009,0.9,6,,,8000,,2,,,28.00%,28
JAN THRU MAR,Northeast,CONNECTICUT,2015,290,870,0.22,0,0,3900,,0.212,21.2,0.014,1.4,22,0,0,0,,0,0.024,2.4,2.50%,2.5
APR THRU JUN,Midwest,NEBRASKA,2016,8000,6000,0.14,1,0.01,19500,,0.011,1.1,0.001,0.1,14,0.038,3.8,28000,,65,0.035,3.5,6.10%,6.1
APR THRU JUN,Midwest,NEBRASKA,2020,7000,1900,0.05,4.8,0.048,16500,700,,,0.011,1.1,5,0.122,12.2,1100,,3,0.027,2.7,17.50%,17.5
APR THRU JUN,Northeast,MASSACHUSETTS,2018,910,260,0.03,1,0.01,3500,,0.02,2,0.011,1.1,3,0.014,1.4,350,,4,0.021,2.1,6.30%,6.3
JUL THRU SEP,West,IDAHO,2016,1900,13000,0.1,4.5,0.045,79000,,0.06,6,0.047,4.7,10,0.076,7.6,2800,,2,0.033,3.3,25.30%,25.3
APR THRU JUN,West,HAWAII,2022,2200,420,0.02,4.6,0.046,22000,130,0.005,0.5,0.612,61.2,2,0,0,2100,,10,,,63.10%,63.1
JAN THRU MAR,Midwest,MISSOURI,2018,1400,1400,0.18,0.3,0.003,8000,,0.265,26.5,0.778,77.8,18,0.035,3.5,50,,1,0.239,23.9,86.00%,86
JAN THRU MAR,South,WEST VIRGINIA,2016,0,1700,0.21,1.1,0.011,6500,,0.069,6.9,0.029,2.9,21,0.006,0.6,0,,0,0.065,6.5,21.90%,21.9
JUL THRU SEP,West,MONTANA,2019,3600,18500,0.12,10.6,0.106,147000,1200,0.041,4.1,0.1,10,12,0.061,6.1,12500,,8,0.01,1,28.00%,28
APR THRU JUN,West,WYOMING,2015,7500,3200,0.13,0.8,0.008,12000,,0.083,8.3,0.179,17.9,13,0.036,3.6,5000,,20,0.024,2.4,19.10%,19.1
JUL THRU SEP,Midwest,MISSOURI,2020,290,730,0.09,,,8000,250,0.024,2.4,0.088,8.8,9,0.011,1.1,820,,10,0.024,2.4,30.80%,30.8
JUL THRU SEP,South,MISSISSIPPI,2015,260,3500,0.1,0,0,23000,,0.038,3.8,0.022,2.2,10,0.011,1.1,110,,0,0.014,1.4,45.50%,45.5
JAN THRU MAR,West,CALIFORNIA,2020,240000,230000,0.13,5,0.05,1350000,19000,0.053,5.3,0.06,6,13,0.053,5.3,66000,,4,0.042,4.2,22.40%,22.4
JUL THRU SEP,South,MARYLAND,2019,720,790,0.11,0,0,7500,50,0.051,5.1,0.027,2.7,11,0.003,0.3,1200,,16,0.014,1.4,26.70%,26.7
JAN THRU MAR,South,ARKANSAS,2018,540,7500,0.34,1,0.01,22000,,0.046,4.6,0.096,9.6,34,0.23,23,810,,4,0.139,13.9,21.10%,21.1
JAN THRU MAR,South,ARKANSAS,2017,430,3500,0.18,0.1,0.001,18000,,0.03,3,0.146,14.6,18,0.005,0.5,230,,1,0.01,1,31.50%,31.5
OCT THRU DEC,West,HAWAII,2016,60,970,0.07,0,0,13500,,0.002,0.2,0.408,40.8,7,0.001,0.1,840,,6,0.001,0.1,39.90%,39.9
OCT THRU DEC,South,KENTUCKY,2016,60,950,0.13,3.3,0.033,7500,,0.103,10.3,0.223,22.3,13,0.03,3,80,,1,0.057,5.7,48.20%,48.2
OCT THRU DEC,West,OREGON,2016,1500,9500,0.08,13,0.13,98000,,0.026,2.6,0.028,2.8,8,0.028,2.8,1000,,1,0.013,1.3,25.50%,25.5
JUL THRU SEP,Northeast,NEW JERSEY,2017,280,420,0.03,0,0,16000,,0.004,0.4,0.029,2.9,3,0.008,0.8,110,,1,0.019,1.9,10.70%,10.7
OCT THRU DEC,South,ARKANSAS,2018,110,6000,0.19,0,0,30000,,0.053,5.3,0.071,7.1,19,0.735,73.5,230,,1,0.022,2.2,82.80%,82.8
OCT THRU DEC,Midwest,SOUTH DAKOTA,2018,2000,21000,0.15,7,0.07,140000,,0.021,2.1,0.013,1.3,15,0.016,1.6,430,,,0.025,2.5,12.80%,12.8
JUL THRU SEP,South,WEST VIRGINIA,2015,300,300,0.04,1,0.01,7000,,0.03,3,0.053,5.3,4,0.015,1.5,270,,4,0.011,1.1,21.70%,21.7
OCT THRU DEC,West,UTAH,2016,440,1600,0.05,0.2,0.002,30000,,0.007,0.7,0.001,0.1,5,0.009,0.9,50,,0,0.003,0.3,26.40%,26.4
JUL THRU SEP,West,COLORADO,2015,1400,4500,0.15,2.7,0.027,29000,,0.037,3.7,0.015,1.5,15,0.165,16.5,1400,,5,0.027,2.7,50.50%,50.5
APR THRU JUN,Midwest,KANSAS,2021,4800,1900,0.24,7.2,0.072,7500,740,0.015,1.5,0.216,21.6,24,0.086,8.6,1600,,20,0.065,6.5,47.80%,47.8
JAN THRU MAR,Northeast,MASSACHUSETTS,2016,1200,370,0.12,0.7,0.007,3000,,0.031,3.1,0.052,5.2,12,0,0,140,,5,0.011,1.1,10.10%,10.1
APR THRU JUN,West,MONTANA,2020,18000,2000,0.02,5.9,0.059,48000,1500,0.046,4.6,0.056,5.6,2,0,0,16000,,13,,,12.10%,12.1
OCT THRU DEC,Midwest,ILLINOIS,2019,1000,1700,0.13,1.1,0.011,13000,380,0.089,8.9,0.273,27.3,13,0.034,3.4,1500,,12,0.089,8.9,28.90%,28.9
OCT THRU DEC,South,TEXAS,2016,2200,39000,0.13,3.2,0.032,136000,,0.028,2.8,0.175,17.5,13,0.036,3.6,650,,0,0.014,1.4,33.10%,33.1
APR THRU JUN,Midwest,SOUTH DAKOTA,2021,39000,7000,0.03,3.6,0.036,16500,170,0.273,27.3,0.12,12,3,0.042,4.2,19000,,9,0.007,0.7,49.40%,49.4
OCT THRU DEC,West,IDAHO,2019,1800,15500,0.08,5.4,0.054,111000,3300,0.099,9.9,0.043,4.3,8,0.105,10.5,1000,,1,0.011,1.1,20.30%,20.3
OCT THRU DEC,Northeast,NEW YORK,2016,240,9000,0.18,3.6,0.036,48000,,0.022,2.2,0.022,2.2,18,0.125,12.5,130,,0,0.021,2.1,27.80%,27.8
APR THRU JUN,South,FLORIDA,2022,40000,34000,0.11,5.9,0.059,290000,5500,0.127,12.7,0.158,15.8,11,0.085,8.5,39000,,13,0.065,6.5,28.40%,28.4
APR THRU JUN,Midwest,ILLINOIS,2017,3600,1200,0.1,0.7,0.007,11500,,0.056,5.6,0.043,4.3,10,0.03,3,1600,,13,0.015,1.5,11.30%,11.3
APR THRU JUN,South,MARYLAND,2020,4400,670,0.08,0.1,0.001,7000,0,0.032,3.2,0.011,1.1,8,0.011,1.1,1700,,21,0.005,0.5,14.30%,14.3
JUL THRU SEP,Midwest,NEBRASKA,2020,3000,4300,0.09,3.3,0.033,47000,300,0.214,21.4,0.008,0.8,9,0.198,19.8,3100,,6,,,23.40%,23.4
